"","site","MA","M50","M25","M75","MASept","M50Sept","D1","D2","D3","D4","DL","DN","F1","F2","F3","F4","FL","FN","FPL","G4F1","G4F2","G4F3","G4FL","G4FPL","GNF1","GNF2","GNF3","GNFL","GNFPL","T1","T2","SName"
"1","15192",4.08130081300813,4,4,4,4,4,NA,NA,NA,12.6666666666667,NA,123,0,0,0,114,0,123,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Honeypot Brook US"
"2","15193",4.0650406504065,4,4,4,4,4,NA,NA,NA,14.375,NA,123,0,0,0,115,0,123,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Honeypot Brook DS"
"3","15244",2.71544715447154,3,2,3,2.8,3,3.33333333333333,3.42857142857143,6.5,2.08333333333333,9.6,2.45454545454545,20,24,52,25,96,27,0.780487804878049,6,21,52,79,0.642276422764228,2,3,25,30,0.24390243902439,186,245,"Cobble Brook"
"4","16046",2.31707317073171,2,1,4,1.93333333333333,1,8.33333333333333,2,2.33333333333333,2.15384615384615,8.27272727272727,2.66666666666667,50,20,21,28,91,32,0.739837398373984,32,20,21,73,0.59349593495935,2,2,16,20,0.16260162601626,183,228,"Chidsey Brook"
"5","18513",4.04065040650407,4,4,4,4,4,NA,NA,NA,39.3333333333333,NA,123,0,0,0,118,0,123,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Womenshenuck Brook"
"6","19141",2.88461538461538,4,1,4,1.43333333333333,1,30,5.5,3.5,13.25,48,56,30,11,7,53,48,56,0.461538461538462,20,11,7,38,0.365384615384615,2,7,1,10,0.0961538461538462,238,256,"Mill River"
"7","19657",4.07317073170732,4,4,4,4.03333333333333,4,NA,NA,NA,19.1666666666667,NA,123,0,0,0,115,0,123,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Bunnell Brook"
